13121,AGSC,399B,4,"MS Thesis",9,AG,1,2,.,.,.,.,.,.,.,.,.,.,Walid,El Kayal
13129,AGSC,399B,5,"MS Thesis",9,AG,1,1,.,.,.,.,.,.,.,.,.,.,Isam,Bashour
13156,AGSC,399C,1,"MS Thesis",9,AG,0,2,.,.,.,.,.,.,.,.,.,.,Hadi,Jaafar
13351,AGSC,399C,2,"MS Thesis",9,AG,0,2,.,.,.,.,.,.,.,.,.,.,Youssef,Abou Jawdeh
10061,AGSC,399D,1,"MS Thesis",9,AG,0,2,.,.,.,.,.,.,.,.,.,.,Youssef,Abou Jawdeh
13289,AGSC,399F,1,"MS Thesis",9,AG,1,3,.,.,.,.,.,.,.,.,.,.,Youssef,Abou Jawdeh
10062,AHIS,150,1,"Intr.to Art History for Freshm",3,AS,23,-1,1230,1345,NICELY,202,M,.,W,.,.,.,Joseph Richard,Hammond
13050,AHIS,207,1,"Early Islamic Art &Architectur",3,AS,0,0,.,.,.,.,.,.,.,.,.,.,.,STAFF
10065,AHIS,225,1,"Art Now",3,AS,25,-2,1100,1215,NICELY,202,.,T,.,R,.,.,Rayya,Badran
10066,AHIS,226,1,"Art After the Lebanese Wars",3,AS,0,0,.,.,.,.,.,.,.,.,.,.,.,STAFF
10067,AHIS,227,1,"Sound in Visual Culture",3,AS,26,-3,1230,1345,NICELY,B2,.,T,.,R,.,.,Rayya,Badran
10068,AHIS,249I,1,"ST: Feminist Art History",3,AS,11,14,1400,1515,NICELY,202,M,.,W,.,.,.,Joseph Richard,Hammond
10069,AHIS,251,1,"Theories of Modern Art",3,AS,18,2,1400,1515,NICELY,202,.,T,.,R,.,.,Anzhela,Harutyunyan
10070,AHIS,252,1,"Contemporary Art and Theory",3,AS,15,2,1300,1530,NICELY,202,.,.,.,.,F,.,Octavian,Esanu
10071,AHIS,301,1,"Sem:Practices of Art History",3,AS,4,11,1530,1750,NICELY,101,.,T,.,.,.,.,Anzhela,Harutyunyan
10072,AHIS,311,1,"Iss.Contemporary Art &Th.",3,AS,6,-1,1300,1530,NICELY,202,.,.,.,.,F,.,Octavian,Esanu
13389,AHIS,313A,1,"Tut.Feminist Art History",3,AS,1,-1,.,.,.,.,.,.,.,.,.,.,Joseph Richard,Hammond
10073,AHIS,395A,1,"Comprehensive Exam",0,AS,3,0,.,.,.,.,.,.,.,.,.,.,Anzhela,Harutyunyan
10074,AHIS,399,1,"Graduate Thesis & Exhibition",6,AS,0,3,.,.,.,.,.,.,.,.,.,.,Hala,Auji
10075,AHIS,399,2,"Graduate Thesis & Exhibition",6,AS,1,2,.,.,.,.,.,.,.,.,.,.,Anzhela,Harutyunyan
10076,AHIS,399A,1,"Graduate Thesis & Exhibition",6,AS,0,3,.,.,.,.,.,.,.,.,.,.,Hala,Auji
10077,AHIS,399A,2,"Graduate Thesis & Exhibition",6,AS,0,3,.,.,.,.,.,.,.,.,.,.,Anzhela,Harutyunyan
10078,AHIS,399B,1,"Graduate Thesis & Exhibition",6,AS,1,2,.,.,.,.,.,.,.,.,.,.,Hala,Auji
10079,AHIS,399B,2,"Graduate Thesis & Exhibition",6,AS,0,3,.,.,.,.,.,.,.,.,.,.,Anzhela,Harutyunyan
10080,AHIS,399C,1,"Graduate Thesis & Exhibition",6,AS,0,3,.,.,.,.,.,.,.,.,.,.,Hala,Auji
10081,AHIS,399C,2,"Graduate Thesis & Exhibition",6,AS,0,3,.,.,.,.,.,.,.,.,.,.,Anzhela,Harutyunyan
10082,AMST,215,1,"Intr. To American Studies",3,AS,24,-4,1230,1345,NICELY,323,.,T,.,R,.,.,Suzanne,Enzerink
10083,AMST,275AV,1,"ST: Intr. to Photojournalism",3,AS,0,0,.,.,.,.,.,.,.,.,.,.,.,STAFF
10084,AMST,275AW,1,"ST: Journalism and Society",3,AS,2,3,1530,1645,NICELY,410,M,.,W,.,.,.,Rabie,Barakat
10085,AMST,275M,1,"Sp.Tp:Drama",3,AS,1,4,1530,1645,NICELY,321,M,.,W,.,.,.,Robert,Myers
10086,ARAB,101,1,"Readings in Arabic Heritage I",3,AS,24,-1,0930,1045,NICELY,320,.,T,.,R,.,.,Tarif,Bazzi
10087,ARAB,201,1,"Issues in Contempor.Arab Cult.",3,AS,23,0,0800,0915,REYNOL,533,.,T,.,R,.,.,Raghda,Nahas El-Zein
10088,ARAB,201,2,"Issues in Contempor.Arab Cult.",3,AS,23,0,0930,1045,REYNOL,533,.,T,.,R,.,.,Raghda,Nahas El-Zein
10089,ARAB,201,3,"Issues in Contempor.Arab Cult.",3,AS,21,2,1100,1215,REYNOL,533,.,T,.,R,.,.,Raghda,Nahas El-Zein
10090,ARAB,201,4,"Issues in Contempor.Arab Cult.",3,AS,24,-1,1400,1515,REYNOL,533,M,.,W,.,.,.,Sina,Moukaled
